,Tweet Posted Time (UTC),Tweet Content,Tweet Location
152234,10/04/2020,Very close sources from WB have informed me that because of casual approach of govt. west begal will become epicentre of Covid-19 pandemic . Itâs safe heaven for Jamatis,Sikkim
152235,10/04/2020,Entire MH Govt was sleeping amid COVID 19.,Sikkim
161180,12/04/2020,Good to see him back. Take care of UK which needs a good leader to@fight Covid . Many lives lost .,Sikkim
161181,12/04/2020,Donât worry ! Covid-19 will bring them together.,Sikkim
163828,12/04/2020,Good to see him back. Take care of UK which needs a good leader to@fight Covid . Many lives lost .,Sikkim
163829,12/04/2020,Donât worry ! Covid-19 will bring them together.,Sikkim
166285,13/04/2020,Buying Hand sanitizer online I tell you #IndiaFightsCoronavirus #Covid_19,Sikkim
168652,13/04/2020,Buying Hand sanitizer online I tell you #IndiaFightsCoronavirus #Covid_19,Sikkim
171587,14/04/2020,Throwback to the days when roaming around was not meant inviting COVID-19! ,Sikkim
175370,14/04/2020,Throwback to the days when roaming around was not meant inviting COVID-19! ,Sikkim
177700,15/04/2020,This must be a case study . #corona https://p.dw.com/p/3avEX?maca=en-Twitter-sharing Amazon shares reach new high amid coronavirus pandemic,Sikkim
181138,15/04/2020,This must be a case study . #corona https://p.dw.com/p/3avEX?maca=en-Twitter-sharing Amazon shares reach new high amid coronavirus pandemic,Sikkim
188839,17/04/2020,CREATING AWARNESS BY STICKING COVID-19 POSTERS AT THE VARIOUS PUBLIC PLACES BY HEE YANGTHANG HWC  WEST SIKKIM #sikkimfightscorona #frontlineworkers #creatingawarness @USAID_NISHTHA @PMOIndia @GolayPs @AyushmanHWCs @sikkimgovt,Sikkim
191286,17/04/2020,CREATING AWARNESS BY STICKING COVID-19 POSTERS AT THE VARIOUS PUBLIC PLACES BY HEE YANGTHANG HWC  WEST SIKKIM #sikkimfightscorona #frontlineworkers #creatingawarness @USAID_NISHTHA @PMOIndia @GolayPs @AyushmanHWCs @sikkimgovt,Sikkim
192737,18/04/2020,Amidst this #CoronavirusOutbreak  I have released my new video of Sikkim for your pleasure. https://youtu.be/Fqo-ti1ji9E #lockdownnz #IndiaFightsCorona #StayHomeStaySafe #YouTuber #instagood #tourism #amazing #coronavirusinindia #Trending #nature #VideoViral #SaturdayMotivation,Sikkim
193628,18/04/2020,She is a problem to all solutions? DW news could not find Covid fighters on ground to get the real news about Indiaâs efforts and connected to a person who can give them a bite for news which #UrbanNaxals likes . Shame !,Sikkim
193629,18/04/2020,Itâs a big nexus and everything is fixed. Hats off for bringing more innovation to create false narratives . People must talk on all possible ways to stop the spread of Covid 19.,Sikkim
196080,18/04/2020,She is a problem to all solutions? DW news could not find Covid fighters on ground to get the real news about Indiaâs efforts and connected to a person who can give them a bite for news which #UrbanNaxals likes . Shame !,Sikkim
196081,18/04/2020,Itâs a big nexus and everything is fixed. Hats off for bringing more innovation to create false narratives . People must talk on all possible ways to stop the spread of Covid 19.,Sikkim
197484,19/04/2020,I recommend Aarogya Setu app to fight against COVID19. Please download and share it using this link Android : https://play.google.com/store/apps/details?id=nic.goi.aarogyasetu iOS :,Sikkim
224928,23/04/2020,WHO WANTS TO TRAVEL? This lockdown just reminds of the people who earn a living off the handful tourists who vist the most remotest areas of our nature. People are extremely poor in the rural mountainous areas ofâ¦ https://www.instagram.com/p/B_Uask2guCx/?igshid=1k4lgjnlvcnd3,Sikkim
226915,23/04/2020,WHO WANTS TO TRAVEL? This lockdown just reminds of the people who earn a living off the handful tourists who vist the most remotest areas of our nature. People are extremely poor in the rural mountainous areas ofâ¦ https://www.instagram.com/p/B_Uask2guCx/?igshid=1k4lgjnlvcnd3,Sikkim
237350,24/04/2020,As of date  #Sikkim is the only Indian state that has not reported any Covid-19 case so far. Besides it  Nagaland  which initially reported one Covid-19 case  now reports a zero figure because the lone patient was transferred to Assam. ,Sikkim
237351,24/04/2020,#lockdownextension #Covid_19 #Sikkim BACK TO THE 70s,Sikkim
237352,24/04/2020,WHILE MOST OF THE PEOPLE ARE GETTING BORED OF LOCKDOWN  HERE WE ARE HELPING OUR PEOPLE ENDLESSLY AND SELFLESSLY... #primarylevelprevention #sikkimfightscorona #frontlineworkers @IndraHangSubba1 @USAID_NISHTHA @PMOIndia @AyushmanHWCs #communityhealthofficer,Sikkim
237353,24/04/2020,Stay at Home and enjoy the sound of Nature from your couch ! . Khangchendzonga National Park  UNESCO Heritage site! #sikkim #IncredibleIndia #video #easeindiatravel #experiencetravel #travel #FridayThoughts #StayAtHome #lockdown ,Sikkim
239677,24/04/2020,As of date  #Sikkim is the only Indian state that has not reported any Covid-19 case so far. Besides it  Nagaland  which initially reported one Covid-19 case  now reports a zero figure because the lone patient was transferred to Assam. ,Sikkim
239678,24/04/2020,#lockdownextension #Covid_19 #Sikkim BACK TO THE 70s,Sikkim
239679,24/04/2020,WHILE MOST OF THE PEOPLE ARE GETTING BORED OF LOCKDOWN  HERE WE ARE HELPING OUR PEOPLE ENDLESSLY AND SELFLESSLY... #primarylevelprevention #sikkimfightscorona #frontlineworkers @IndraHangSubba1 @USAID_NISHTHA @PMOIndia @AyushmanHWCs #communityhealthofficer,Sikkim
239680,24/04/2020,Stay at Home and enjoy the sound of Nature from your couch ! . Khangchendzonga National Park  UNESCO Heritage site! #sikkim #IncredibleIndia #video #easeindiatravel #experiencetravel #travel #FridayThoughts #StayAtHome #lockdown ,Sikkim
248771,25/04/2020,action against Hisua  Nawada Bihar MLA Anil Singh? Bcoz Already their Head means CM have announced that follow the lockdown....,Sikkim
251274,25/04/2020,action against Hisua  Nawada Bihar MLA Anil Singh? Bcoz Already their Head means CM have announced that follow the lockdown....,Sikkim
260738,26/04/2020,Jharkhand is busy demeaning Hindus than focusing on Covid . @JharkhandCMO,Sikkim
266010,26/04/2020,Jharkhand is busy demeaning Hindus than focusing on Covid . @JharkhandCMO,Sikkim
300936,28/04/2020,This is tip of the iceberg. West Bengal is hiding itâs Covid data. West Bengal has not traced any Jahils till now . Corona has no impact of TMC politics .,Sikkim
313325,28/04/2020,This is tip of the iceberg. West Bengal is hiding itâs Covid data. West Bengal has not traced any Jahils till now . Corona has no impact of TMC politics .,Sikkim
322186,29/04/2020,53 cases out of 125 COVID-19 in Odisha reported from WB. WestBengal is turned into wuhancity 4 Odisha.,Sikkim
333465,29/04/2020,53 cases out of 125 COVID-19 in Odisha reported from WB. WestBengal is turned into wuhancity 4 Odisha.,Sikkim
350613,30/04/2020,During the period of lockdown as everyone is refrained from coming out of their houses a little initiative taken by TURUK HWC for delivering service at their door steps. Follow up of NCD patients under medication also delivering NCD medicines to clients of hard to reach area. ,Sikkim
362137,30/04/2020,During the period of lockdown as everyone is refrained from coming out of their houses a little initiative taken by TURUK HWC for delivering service at their door steps. Follow up of NCD patients under medication also delivering NCD medicines to clients of hard to reach area. ,Sikkim
372747,01/05/2020,Heaven #takemeback #lockdown #Sikkim,Sikkim
374375,01/05/2020,Heaven #takemeback #lockdown #Sikkim,Sikkim
376168,01/05/2020,Heaven #takemeback #lockdown #Sikkim,Sikkim
376169,01/05/2020,Heaven #takemeback #lockdown #Sikkim,Sikkim
394332,01/05/2020,Heaven #takemeback #lockdown #Sikkim,Sikkim
650677,14/05/2020,Birthday celebration in Lockdown without friends and family members ,Sikkim
676404,16/05/2020,Hi mam big fan of u from sikkim house your lockdown going on?,Sikkim
676405,16/05/2020,#untold rashmika What are you doing for timepass in lockdown gym? Any suggestions for your fans how they should utilize their time?,Sikkim
693834,19/05/2020,COVID-19 in India #coronavirus ,Sikkim
693835,19/05/2020,COVID-19 in India #coronavirus,Sikkim
693836,19/05/2020,COVID-19 in India #coronavirus,Sikkim
729748,25/05/2020,Sample collection for COVID 19 #kamrangquarantinecentre #namchi #frontlinewarriors,Sikkim
741290,27/05/2020,Meanwhile Lockdown 4.0 #Lockdown5,Sikkim
746841,28/05/2020,How banks can prevent fraud & friction in the post coronavirus world #COVID-19 #fraud #economy,Sikkim
746842,28/05/2020,Public officials can't block people on official accounts or accounts conducting official business. Get yourself blocked and sue someone and your first amendment rights (which you apparently don't think are relevant) will be upheld.,Sikkim
746843,28/05/2020,Now that riots are in does that mean coronavirus is over. Not the actual microbe  but media focus/spin on it. Once the media stops pushing something it is amazing how quickly it stops being a thing. Took the death of George Floyd to snap us out of the spell of the lockdowners,Sikkim
746844,28/05/2020,Dublin Irish Festival latest coronavirus pandemic victim. Another huge blow to central Ohio tourism economy. ,Sikkim
746845,28/05/2020,How to buy local wines during Rona lockdown #Adelaide @theTiser #coronavirus ,Sikkim
746846,28/05/2020,World Leaders: Unite For Our Future and Protect Everyone From Coronavirus https://glblctzn.co/e/8blXasJUR6 #globalcitizen,Sikkim
746847,28/05/2020,Wait  what? REVEALED: Billions for defense contractors hidden in new House coronavirus relief bill â Raw Story ,Sikkim
746848,28/05/2020,To think of all the mourning going on in the country right now  then to think the President is purposely bullying and antagonizing a grieving widower in a petty  weird ass rivalry w/ an ex friend is... Unconscionable. #minneapolisriots #COVID19 #coronavirus #GeorgeFloyd #vote,Sikkim
746849,28/05/2020,De Blasio: NYC to begin âPhase 1â of coronavirus reopening in âthe first or second week of Juneâ ,Sikkim
